Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\16\ee6e317f63fa4c200e7367e8e7dbf6a5dd8be8,395.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\17\63cdfee5d075023e47a407164b0105496833af,305.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\18\0b6ec7e6d03ab3f8f5f06dc5f61a1f3a22c236,69.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\19\48626fd8040db1b53b96ed34b3e180fd5fa072,1.04 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\19\5a6f79665b048c0dd14610fb5939334d62aea5,215.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\19\c786f255c2ad635215afa4ed5653a3fa345b5b,411.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\19\d81e51a38bbdebdbe35b1cf0e5a6744c8bde1c,388.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1a\2f51bc8c8940337b9987598a788258fc12acaa,2.63 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1a\30a6cd6359fc40accbdd7fb2c038b873f67850,334.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1a\cb2afc97edea64e08a443946614b291837a28b,68.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1a\f28855aa047d7924cc1baf4a764751339bb0a1,249.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1b\be512cc5255a9ec30b5dd49507e943d99c31d8,293.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1b\c557b0bd893dbc628d0e5352fb50c8aad3c137,69.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1b\f285bdc2b1f894b56ce85d39c7cfd00f1c922f,224.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1c\51db3a89abf2935d551ef4c2ed0b3871db7e7c,235.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1c\aac069d40c33f8da8e3772ada0dcd3f5bc16d4,221.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1c\f4024d666a2236f9db3ecbb86e0ec681010caf,286.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\4d630163dc7bb21197597e6ff860856a529fe5,131.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\4e54cb2986c5957459fa58e4c4258ff85b1162,243.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\5061da4f0d4fcc66db28f17789fefcb5a48a7a,213.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\abfda5fe4d5dd21dbeb601ba736397493ce83f,520.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\c2b4b10b8c4d0162fb477b42f3af661693be31,473.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1d\ecdb0fd55472a4e6ec320d602b94a914d8bf1f,224.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1e\2aa831b549efc10ad0c496ef9498f27a253c54,184.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1e\5761878cd2c92297358b9d8d7ce3a2a08a481d,257.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1e\6c9b01618c443e9e8369348f8570ccca7012b3,531.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1e\c57857d1f7091222a5dfa2aeec44d8c1d95a45,132.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1e\eae96ba19f0d26cb5957563f673a645c2462e8,106.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\1f\66bb59e97979460123b9a225a6d316ea66dbb1,187.0 B,0.0 %
